,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
192,2Q3jFbyE61mCjS3SkW4toJ,0.488,0.635,10,-7.19,1,0.26,0.179,8.16e-06,0.156,0.783,174.072
193,08XWh5c0BMyD1nKVxxl91z,0.843,0.485,10,-8.735,0,0.195,0.181,0.0675,0.107,0.689,100.053
194,5ScbulRnixQ2XAdvrPMFjz,0.32,0.466,8,-6.77,1,0.0374,0.00645,0.0,0.133,0.338,177.693
195,50ceCGZ3oD3U5caQV5bP6f,0.519,0.851,7,-6.001,1,0.29,0.118,0.0,0.178,0.711,123.823
196,7F9cT6hIRhnFCYP6GKS0tf,0.59,0.493,7,-8.704,0,0.0367,0.402,0.00504,0.129,0.0498,150.026
197,3RkNXZvOSMMElmmXztDc94,0.783,0.416,4,-9.84,0,0.135,0.213,0.0,0.103,0.165,87.073
198,1cCXT1cErAY6tmIqHbodrt,0.473,0.53,0,-8.506,1,0.249,0.812,6.92e-06,0.227,0.637,74.732
199,23JVRF8F2C1TV2QDDNn213,0.454,0.718,8,-5.084,0,0.107,0.431,0.0,0.163,0.275,141.556
200,29t9XYOV65fFXiVzFFJgHH,0.671,0.639,2,-6.852,0,0.134,0.0928,0.0,0.0941,0.385,119.82
201,567e29TDzLwZwfDuEpGTwo,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928
202,0oSVZClSSfn4aacXvdmkuj,0.676,0.494,2,-7.077,1,0.261,0.135,0.0,0.0995,0.756,169.685
203,2n1XN46reBpu5I9wDwzZMP,0.639,0.727,9,-5.23,0,0.0901,0.0917,0.0,0.111,0.256,75.992
